resp_uid,pair_id,kelompok,usia,lokasi,status_pernikahan,pendidikan_terakhir,anggota_keluarga_bekerja,pendapatan_numerik_B1,pendapatan_numerik_B2,pendapatan_numerik_B3,pendapatan_ordinal_B1,pendapatan_ordinal_B2,pendapatan_ordinal_B3,pendapatan_kategori_B1,pendapatan_kategori_B2,pendapatan_kategori_B3,jumlah_sumber_pendapatan_B1,jumlah_sumber_pendapatan_B2,jumlah_sumber_pendapatan_B3,punya_usaha_B1,punya_usaha_B2,punya_usaha_B3,pengeluaran_pokok_B1,pengeluaran_pokok_B2,pengeluaran_pokok_B3,belanja_makanan_B1,belanja_makanan_B2,belanja_makanan_B3,belanja_kesehatan_B1,belanja_kesehatan_B2,belanja_kesehatan_B3,belanja_pendidikan_B1,belanja_pendidikan_B2,belanja_pendidikan_B3,pscore
Intervensi_70,42,Intervensi,79,Dusun Melati,Menikah,SMA,,,363000.0,600000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,2500000.0,,1800000.0,1800000.0,,1500000.0,400000.0,,160000.0,0.0,,0.0,0.0207849307293628
Kontrol_135,42,Kontrol,49,,Menikah,>=Diploma/S1+,0.0,,,,2,1,1,"Rp1,2 - <2,5 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.02046447637511
Intervensi_44,43,Intervensi,29,Dusun Pringgan,Belum menikah,SMA,,1000000.0,1000000.0,800000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,720000.0,,870000.0,300000.0,,450000.0,0.0,,0.0,0.0,,0.0,0.4583609312463642
Kontrol_137,43,Kontrol,57,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.4233233884497477
Intervensi_40,44,Intervensi,26,Dusun Pringgan,Menikah,SMA,,,500000.0,1000000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,760000.0,,1460000.0,300000.0,,1000000.0,0.0,,0.0,0.0,,0.0,0.6184610023565997
Kontrol_23,44,Kontrol,50,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.5654900339638902
Intervensi_141,45,Intervensi,76,Dusun Melati,Duda/Janda,SD,,,,500000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,1180000.0,,463000.0,1000000.0,,300000.0,0.0,,120000.0,0.0,,0.0,0.3718625391658839
Kontrol_36,45,Kontrol,55,,Duda/Janda,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.3658422200103892
Intervensi_142,46,Intervensi,55,Dusun Melati,Menikah,SMA,,1200000.0,1200000.0,1500000.0,2,2,2,"Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,1300000.0,,1383000.0,1000000.0,,1000000.0,0.0,,50000.0,120000.0,,0.0,0.0681483736021382
Kontrol_37,46,Kontrol,80,,Duda/Janda,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.0694503304492626
